"cell","method","bias","mcse","emp_se","design","shift","beta","b"
5,"naive_chg",0.00127990647083953,0.00400677990801984,0.126705505923426,"anchored",1,0,0.4
5,"maic_chg",-0.00287450127428096,0.00588750371238804,0.186179214638431,"anchored",1,0,0.4
5,"gcomp_chg",-0.000811038387991401,0.00443868332173192,0.140363491088748,"anchored",1,0,0.4
6,"naive_end",0.404172456084462,0.00255478612897708,0.0807894310217227,"unanchored",1,0,0.4
6,"maic_end",0.00634360907144522,0.00323127032270533,0.102181739554562,"unanchored",1,0,0.4
6,"gcomp_end",0.00521269922055333,0.00294396443629466,0.0930963296922481,"unanchored",1,0,0.4
6,"naive_chg",-0.597314791713264,0.00277443088580152,0.0877352080985131,"unanchored",1,0,0.4
6,"maic_chg",0.00634360907143848,0.00323127032270526,0.102181739554559,"unanchored",1,0,0.4
6,"gcomp_chg",0.00521269922055331,0.00294396443629466,0.0930963296922481,"unanchored",1,0,0.4
7,"naive_end",-0.00142552826543248,0.00367447680451702,0.116197159117311,"anchored",0,0.3,0.4
7,"maic_end",-0.00193192846153972,0.00366537132649505,0.11590921861997,"anchored",0,0.3,0.4
7,"gcomp_end",-0.000636557046638243,0.00338735300322268,0.107117507291953,"anchored",0,0.3,0.4
7,"naive_chg",0.00275028725245962,0.0038052800252395,0.120333520144998,"anchored",0,0.3,0.4
7,"maic_chg",0.0023815113827836,0.00381180744236194,0.120539935198447,"anchored",0,0.3,0.4
7,"gcomp_chg",0.00102317123983952,0.00356228457275858,0.112649329235969,"anchored",0,0.3,0.4
8,"naive_end",0.00023856270052176,0.00279700498440536,0.0884490637756469,"unanchored",0,0.3,0.4
8,"maic_end",0.00107463573749272,0.00244338515098056,0.0772666227813297,"unanchored",0,0.3,0.4
8,"gcomp_end",0.00108340870962089,0.00244337509891213,0.0772663049070152,"unanchored",0,0.3,0.4
8,"naive_chg",0.00147391409107857,0.0026888877413558,0.0850300963519006,"unanchored",0,0.3,0.4
8,"maic_chg",0.001074635737492,0.00244338515098064,0.0772666227813321,"unanchored",0,0.3,0.4
8,"gcomp_chg",0.0010834087096209,0.00244337509891213,0.0772663049070152,"unanchored",0,0.3,0.4
9,"naive_end",0.148885029842464,0.00380996969048998,0.120481820381551,"anchored",0.5,0.3,0.4
9,"maic_end",0.000437873605817038,0.0041110149378314,0.130001706985227,"anchored",0.5,0.3,0.4
9,"gcomp_end",0.00238685917486865,0.00373900484742152,0.118237715002624,"anchored",0.5,0.3,0.4
9,"naive_chg",0.1521144943701,0.00399199118777724,0.12623784552697,"anchored",0.5,0.3,0.4
9,"maic_chg",0.00400143216945655,0.00434769159297406,0.137486079977638,"anchored",0.5,0.3,0.4
9,"gcomp_chg",0.00162498140436016,0.00391194394719236,0.123706529520373,"anchored",0.5,0.3,0.4
10,"naive_end",0.348797378091216,0.00288435688210939,0.0912113733224745,"unanchored",0.5,0.3,0.4
10,"maic_end",0.000976980940154998,0.00262999239237157,0.0831676618880941,"unanchored",0.5,0.3,0.4
10,"gcomp_end",0.000932079284585764,0.00260498996656601,0.0823770157623445,"unanchored",0.5,0.3,0.4
10,"naive_chg",-0.150048218734493,0.00270067671954137,0.085402896575425,"unanchored",0.5,0.3,0.4
10,"maic_chg",0.000976980940147816,0.00262999239237157,0.0831676618880941,"unanchored",0.5,0.3,0.4
10,"gcomp_chg",0.000932079284585785,0.002604989966566,0.0823770157623445,"unanchored",0.5,0.3,0.4
11,"naive_end",0.295064690799715,0.00376052551765926,0.11891825834987,"anchored",1,0.3,0.4
11,"maic_end",-0.00176800671939608,0.00572279499259728,0.180970667588139,"anchored",1,0.3,0.4
11,"gcomp_end",-0.00148284872348951,0.00420502719384499,0.132974635554965,"anchored",1,0.3,0.4
11,"naive_chg",0.299265135612567,0.00384463697063614,0.121578096037001,"anchored",1,0.3,0.4
11,"maic_chg",0.00259586870544139,0.0055455902597252,0.175366961907764,"anchored",1,0.3,0.4
11,"gcomp_chg",-0.000568992152976249,0.00424519221161439,0.13424476493909,"anchored",1,0.3,0.4
12,"naive_end",0.699108199088681,0.00279961249236155,0.0885315204172326,"unanchored",1,0.3,0.4
12,"maic_end",-0.00323841044157264,0.00334068972706086,0.105641884934385,"unanchored",1,0.3,0.4
12,"gcomp_end",-0.00188343240616323,0.00298673009781027,0.0944486986525795,"unanchored",1,0.3,0.4
12,"naive_chg",-0.304104567013992,0.00268633549934533,0.08494938737297,"unanchored",1,0.3,0.4
12,"maic_chg",-0.0032384104415774,0.00334068972706073,0.105641884934382,"unanchored",1,0.3,0.4
12,"gcomp_chg",-0.00188343240616322,0.00298673009781027,0.0944486986525795,"unanchored",1,0.3,0.4
13,"naive_end",-0.00433714402159652,0.00363041044476754,0.114803658467303,"anchored",0,0,0.8
13,"maic_end",-0.00420990614928603,0.00364669927381107,0.11531875646925,"anchored",0,0,0.8
13,"gcomp_end",-0.00291337177910026,0.00308442438974671,0.097538063421745,"anchored",0,0,0.8
13,"naive_chg",-0.00406542654302874,0.00240853613425906,0.0761646001107574,"anchored",0,0,0.8
13,"maic_chg",-0.0039892769585757,0.00241198514004867,0.07627366725034,"anchored",0,0,0.8
13,"gcomp_chg",-0.00437247053697826,0.00236666684433115,0.0748405769088959,"anchored",0,0,0.8
14,"naive_end",0.000238383080471934,0.00265540823261261,0.0839713813261804,"unanchored",0,0,0.8
14,"maic_end",-0.00113585987886923,0.00149383661423615,0.0472392615314055,"unanchored",0,0,0.8
14,"gcomp_end",-0.00112728453461832,0.00149383735771347,0.0472392850422226,"unanchored",0,0,0.8
14,"naive_chg",-0.00133503055809638,0.0015600296848829,0.049332470217047,"unanchored",0,0,0.8
14,"maic_chg",-0.00113585987887182,0.00149383661423611,0.0472392615314041,"unanchored",0,0,0.8
14,"gcomp_chg",-0.0011272845346183,0.00149383735771347,0.0472392850422226,"unanchored",0,0,0.8
15,"naive_end",0.00130277940480878,0.0036656641518529,0.115918478570845,"anchored",0.5,0,0.8
15,"maic_end",0.00084018449133903,0.00400330635407751,0.126595662503094,"anchored",0.5,0,0.8
15,"gcomp_end",-0.00162503867014042,0.00320055755574342,0.101210516586105,"anchored",0.5,0,0.8
15,"naive_chg",-0.00259674668208609,0.00232013431458663,0.0733690891160738,"anchored",0.5,0,0.8
15,"maic_chg",-0.00304139077541173,0.00248664642877248,0.078634664504447,"anchored",0.5,0,0.8
15,"gcomp_chg",-0.00241053805248735,0.00237731270112757,0.0751772284601026,"anchored",0.5,0,0.8
16,"naive_end",0.398155465760166,0.00251728561390021,0.0796035606109989,"unanchored",0.5,0,0.8
16,"maic_end",0.00132045124862126,0.00170354282715204,0.0538707542544299,"unanchored",0.5,0,0.8
16,"gcomp_end",0.00115991034888661,0.00168476959009099,0.0532770923727578,"unanchored",0.5,0,0.8
16,"naive_chg",-0.098407238307411,0.00166176424185444,0.0525495993848294,"unanchored",0.5,0,0.8
16,"maic_chg",0.00132045124861323,0.00170354282715197,0.0538707542544276,"unanchored",0.5,0,0.8
16,"gcomp_chg",0.00115991034888662,0.00168476959009099,0.0532770923727578,"unanchored",0.5,0,0.8
17,"naive_end",0.000620641246124047,0.00356134635381572,0.112619660147936,"anchored",1,0,0.8
17,"maic_end",0.000288470625532175,0.00558153466814563,0.176503623905323,"anchored",1,0,0.8
17,"gcomp_end",0.000103584452117491,0.00329586563100162,0.104224422558332,"anchored",1,0,0.8
17,"naive_chg",0.00113475488797014,0.00234189665823766,0.0740572748476794,"anchored",1,0,0.8
17,"maic_chg",0.00376226419101155,0.00320703014810055,0.101415197928249,"anchored",1,0,0.8
17,"gcomp_chg",0.00316155278281021,0.00278131361270967,0.0879528590339399,"anchored",1,0,0.8
18,"naive_end",0.7987322572895,0.00263752139484669,0.0834057498513984,"unanchored",1,0,0.8
18,"maic_end",0.000348367453950032,0.00202153676046282,0.0639266053682074,"unanchored",1,0,0.8
18,"gcomp_end",0.00113709900882502,0.00183567076686397,0.058049006574781,"unanchored",1,0,0.8
18,"naive_chg",-0.200085179141409,0.00158841650630227,0.0502301403292238,"unanchored",1,0,0.8
18,"maic_chg",0.000348367453944999,0.00202153676046275,0.0639266053682052,"unanchored",1,0,0.8
18,"gcomp_chg",0.00113709900882499,0.00183567076686397,0.0580490065747809,"unanchored",1,0,0.8
19,"naive_end",-0.00486192858172976,0.00404192218404242,0.127816802267363,"anchored",0,0.3,0.8
19,"maic_end",-0.00472963728937903,0.00404552703655086,0.12793079771292,"anchored",0,0.3,0.8
19,"gcomp_end",-0.00393119114671521,0.00305061046008859,0.0964687730781414,"anchored",0,0.3,0.8
19,"naive_chg",0.000175731007236752,0.00232736524463751,0.073597751201695,"anchored",0,0.3,0.8
19,"maic_chg",0.000524339338221167,0.00232621635627711,0.073561420161734,"anchored",0,0.3,0.8
19,"gcomp_chg",0.000378231055450044,0.00232706728967121,0.0735883290383584,"anchored",0,0.3,0.8
20,"naive_end",-0.000645291109090248,0.00289449305508014,0.0915319072559244,"unanchored",0,0.3,0.8
20,"maic_end",0.00123177013118546,0.0016547113071494,0.0523265660062655,"unanchored",0,0.3,0.8
20,"gcomp_end",0.00123204649797644,0.00165501170131058,0.0523360653037172,"unanchored",0,0.3,0.8
20,"naive_chg",0.00103606501004096,0.00161221573028841,0.050982737872631,"unanchored",0,0.3,0.8
20,"maic_chg",0.00123177013118249,0.00165471130714946,0.0523265660062674,"unanchored",0,0.3,0.8
20,"gcomp_chg",0.00123204649797645,0.00165501170131058,0.0523360653037172,"unanchored",0,0.3,0.8
21,"naive_end",0.14409840844443,0.00394592212560777,0.124781013865736,"anchored",0.5,0.3,0.8
21,"maic_end",-0.0073646767642598,0.00444910505827587,0.140693055335279,"anchored",0.5,0.3,0.8
21,"gcomp_end",-0.00805106762783396,0.00314558971950177,0.0994722809803576,"anchored",0.5,0.3,0.8
21,"naive_chg",0.14346019041915,0.00224394013350164,0.0709596175492747,"anchored",0.5,0.3,0.8
21,"maic_chg",-0.00673116201910267,0.00240576586686082,0.0760769965636958,"anchored",0.5,0.3,0.8
21,"gcomp_chg",-0.00685932122720584,0.00238744821590541,0.0754977415796652,"anchored",0.5,0.3,0.8
22,"naive_end",0.548823064056453,0.00292705892094228,0.0925617303569234,"unanchored",0.5,0.3,0.8
22,"maic_end",-0.000489765302912035,0.00174514782542249,0.0551864198202497,"unanchored",0.5,0.3,0.8
22,"gcomp_end",-0.000332730020893827,0.00173188251632517,0.0547669339141127,"unanchored",0.5,0.3,0.8
22,"naive_chg",0.049711480354683,0.00157748898802049,0.0498845818597882,"unanchored",0.5,0.3,0.8
22,"maic_chg",-0.000489765302920121,0.00174514782542244,0.0551864198202479,"unanchored",0.5,0.3,0.8
22,"gcomp_chg",-0.000332730020893839,0.00173188251632516,0.0547669339141126,"unanchored",0.5,0.3,0.8
23,"naive_end",0.303412551079422,0.00389478587873781,0.123163943754718,"anchored",1,0.3,0.8
23,"maic_end",0.00560377773497187,0.00643863410393882,0.20360748788884,"anchored",1,0.3,0.8
23,"gcomp_end",-0.0039870937984197,0.00348103626054037,0.110080032009429,"anchored",1,0.3,0.8
23,"naive_chg",0.300762198674521,0.00219557064893844,0.0694300401445941,"anchored",1,0.3,0.8
23,"maic_chg",-0.00115603826344952,0.00301815004129478,0.0954422845062276,"anchored",1,0.3,0.8
23,"gcomp_chg",-0.00208025835697393,0.00272273249439635,0.0861003614164409,"anchored",1,0.3,0.8
24,"naive_end",1.10024531076959,0.00279551650884292,0.0884019940454587,"unanchored",1,0.3,0.8
24,"maic_end",0.000292731667945611,0.00209807441837727,0.0663469386260519,"unanchored",1,0.3,0.8
24,"gcomp_end",0.000288836518978011,0.0019086383745123,0.0603564449306033,"unanchored",1,0.3,0.8
24,"naive_chg",0.100620874466148,0.00155733958736261,0.0492474018641263,"unanchored",1,0.3,0.8
24,"maic_chg",0.000292731667939068,0.00209807441837726,0.0663469386260518,"unanchored",1,0.3,0.8
24,"gcomp_chg",0.000288836518978039,0.0019086383745123,0.0603564449306032,"unanchored",1,0.3,0.8
