"cell","K","disp","delta","sW","sA","ratio","policy","pass","bias","rmse","coverage","cond_cover_pass","cond_bias_pass"
6,20,0.75,0,0.0316227766016838,0.04325904563487,0.731009575860672,"always_pool",1,0,0.0255290258509041,0.95,0.95,0
6,20,0.75,0,0.0316227766016838,0.04325904563487,0.731009575860672,"half_sA",0.313529402814463,0,0.0315308971569966,0.939544452146695,0.95,0
6,20,0.75,0,0.0316227766016838,0.04325904563487,0.731009575860672,"test_05",0.95,0,0.0273666431155046,0.940399975305666,0.95,0
6,20,0.75,0,0.0316227766016838,0.04325904563487,0.731009575860672,"test_20",0.8,0,0.0296317959426788,0.932688463883983,0.95,0
7,5,0.25,0.1,0.0632455532033676,0.282842712474619,0.223606797749979,"never_pool",0,2.60208521396521e-18,0.0632455532033676,0.95,NA,NA
7,5,0.25,0.1,0.0632455532033676,0.282842712474619,0.223606797749979,"always_pool",1,0.00476190476190476,0.0619047619047619,0.949317869366113,0.949317869366113,0.00476190476190476
7,5,0.25,0.1,0.0632455532033676,0.282842712474619,0.223606797749979,"half_sA",0.354395024886644,0.000129502787789485,0.0632141147766779,0.948182897984305,0.949317869366113,0.00476190476190476
7,5,0.25,0.1,0.0632455532033676,0.282842712474619,0.223606797749979,"test_05",0.936253825815358,0.00335028191522078,0.0623578507439053,0.94805343184819,0.949317869366113,0.00476190476190476
7,5,0.25,0.1,0.0632455532033676,0.282842712474619,0.223606797749979,"test_20",0.773584224368135,0.00159909916090159,0.0628411948808891,0.947225704733571,0.949317869366113,0.00476190476190476
8,10,0.25,0.1,0.0447213595499958,0.188561808316413,0.237170824512628,"never_pool",0,4.33680868994202e-19,0.0447213595499958,0.95,NA,NA
8,10,0.25,0.1,0.0447213595499958,0.188561808316413,0.237170824512628,"always_pool",1,0.00532544378698225,0.0438389264899206,0.948282495603923,0.948282495603923,0.00532544378698225
8,10,0.25,0.1,0.0447213595499958,0.188561808316413,0.237170824512628,"half_sA",0.330182080983389,0.000133870083709195,0.0447069927728313,0.948039340309314,0.948282495603923,0.00532544378698225
8,10,0.25,0.1,0.0447213595499958,0.188561808316413,0.237170824512628,"test_05",0.918979683112742,0.00363438957404232,0.044212241577099,0.946902254162183,0.948282495603923,0.00532544378698225
8,10,0.25,0.1,0.0447213595499958,0.188561808316413,0.237170824512628,"test_20",0.74190093896391,0.00169785541665178,0.0445137019737316,0.946478664564217,0.948282495603923,0.00532544378698225
9,20,0.25,0.1,0.0316227766016838,0.12977713690461,0.243669858620224,"never_pool",0,4.33680868994202e-19,0.0316227766016838,0.95,NA,NA
9,20,0.25,0.1,0.0316227766016838,0.12977713690461,0.243669858620224,"always_pool",1,0.0056047197640118,0.0312308451053279,0.946179200548648,0.946179200548648,0.0056047197640118
9,20,0.25,0.1,0.0316227766016838,0.12977713690461,0.243669858620224,"half_sA",0.28780820209889,0.000121932835993451,0.0316246070152495,0.948075492714296,0.946179200548648,0.0056047197640118
9,20,0.25,0.1,0.0316227766016838,0.12977713690461,0.243669858620224,"test_05",0.883734796532405,0.00359524007082359,0.031508414734264,0.944962850082456,0.946179200548648,0.0056047197640118
9,20,0.25,0.1,0.0316227766016838,0.12977713690461,0.243669858620224,"test_20",0.681782067735724,0.00161022254781672,0.0316120826790227,0.945558992571988,0.946179200548648,0.0056047197640118
10,5,0.75,0.1,0.0632455532033676,0.0942809041582063,0.670820393249937,"never_pool",0,-1.73472347597681e-18,0.0632455532033676,0.95,NA,NA
10,5,0.75,0.1,0.0632455532033676,0.0942809041582063,0.670820393249937,"always_pool",1,0.0310344827586207,0.0610062276308763,0.909140515272131,0.909140515272131,0.0310344827586207
10,5,0.75,0.1,0.0632455532033676,0.0942809041582063,0.670820393249937,"half_sA",0.223272074198737,0.000385863592578094,0.0633096223443799,0.938532580985173,0.909140515272131,0.0310344827586207
10,5,0.75,0.1,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_05",0.857485858634055,0.0190080677021697,0.0639127681419785,0.906067420034475,0.909140515272131,0.0310344827586207
10,5,0.75,0.1,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_20",0.640392937087864,0.00825943400431592,0.0640962376357726,0.915967241184914,0.909140515272131,0.0310344827586207
11,10,0.75,0.1,0.0447213595499958,0.0628539361054709,0.711512473537885,"never_pool",0,0,0.0447213595499958,0.95,NA,NA
11,10,0.75,0.1,0.0447213595499958,0.0628539361054709,0.711512473537885,"always_pool",1,0.0336099585062241,0.0495724736185882,0.848298496588277,0.848298496588277,0.0336099585062241
11,10,0.75,0.1,0.0447213595499958,0.0628539361054709,0.711512473537885,"half_sA",0.142802944439823,0.000255191083225303,0.0448527621802821,0.93773758197653,0.848298496588278,0.0336099585062241
11,10,0.75,0.1,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_05",0.745970069571867,0.016824516103789,0.0498835725923344,0.866458682741373,0.848298496588277,0.0336099585062241
11,10,0.75,0.1,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_20",0.489130145405978,0.00647038430352546,0.0473782788088417,0.89888174473091,0.848298496588278,0.0336099585062241
12,20,0.75,0.1,0.0316227766016838,0.04325904563487,0.731009575860672,"never_pool",0,4.33680868994202e-19,0.0316227766016838,0.95,NA,NA
12,20,0.75,0.1,0.0316227766016838,0.04325904563487,0.731009575860672,"always_pool",1,0.034826883910387,0.0431815122917632,0.72388769303925,0.72388769303925,0.034826883910387
12,20,0.75,0.1,0.0316227766016838,0.04325904563487,0.731009575860672,"half_sA",0.0601872246292726,0.000107543326251524,0.0317221741160041,0.941304250705133,0.72388769303925,0.034826883910387
12,20,0.75,0.1,0.0316227766016838,0.04325904563487,0.731009575860672,"test_05",0.537288095371812,0.011304613396701,0.038443274480721,0.827172793669947,0.72388769303925,0.034826883910387
12,20,0.75,0.1,0.0316227766016838,0.04325904563487,0.731009575860672,"test_20",0.278570664464935,0.00347882238446208,0.0342852776128432,0.893628912129717,0.72388769303925,0.034826883910387
13,5,0.25,0.2,0.0632455532033676,0.282842712474619,0.223606797749979,"never_pool",0,1.04083408558608e-17,0.0632455532033676,0.95,NA,NA
13,5,0.25,0.2,0.0632455532033676,0.282842712474619,0.223606797749979,"always_pool",1,0.00952380952380951,0.0624517954695429,0.94726809708918,0.94726809708918,0.00952380952380951
13,5,0.25,0.2,0.0632455532033676,0.282842712474619,0.223606797749979,"half_sA",0.300518012011533,0.000218470029324724,0.0632431380848597,0.948331599453858,0.94726809708918,0.00952380952380952
13,5,0.25,0.2,0.0632455532033676,0.282842712474619,0.223606797749979,"test_05",0.893915356273448,0.00621948768854218,0.0629278148976171,0.946155287696747,0.94726809708918,0.00952380952380951
13,5,0.25,0.2,0.0632455532033676,0.282842712474619,0.223606797749979,"test_20",0.698575920267341,0.00281913270562294,0.0631623770587016,0.946404788563756,0.94726809708918,0.00952380952380952
14,10,0.25,0.2,0.0447213595499958,0.188561808316413,0.237170824512628,"never_pool",0,1.30104260698261e-18,0.0447213595499958,0.95,NA,NA
14,10,0.25,0.2,0.0447213595499958,0.188561808316413,0.237170824512628,"always_pool",1,0.0106508875739645,0.0447988005461484,0.943108911080832,0.943108911080832,0.0106508875739645
14,10,0.25,0.2,0.0447213595499958,0.188561808316413,0.237170824512628,"half_sA",0.2282558048733,0.000182943552230014,0.0447434602288037,0.948394724428744,0.943108911080832,0.0106508875739645
14,10,0.25,0.2,0.0447213595499958,0.188561808316413,0.237170824512628,"test_05",0.821892933935557,0.00612387290335584,0.0450863564126205,0.942795803405665,0.943108911080832,0.0106508875739645
14,10,0.25,0.2,0.0447213595499958,0.188561808316413,0.237170824512628,"test_20",0.588175482644625,0.00255690233744427,0.0449568666331811,0.944974118742399,0.943108911080832,0.0106508875739645
15,20,0.25,0.2,0.0316227766016838,0.12977713690461,0.243669858620224,"never_pool",0,-3.25260651745651e-19,0.0316227766016838,0.95,NA,NA
15,20,0.25,0.2,0.0316227766016838,0.12977713690461,0.243669858620224,"always_pool",1,0.0112094395280236,0.032704806021322,0.93461607067731,0.93461607067731,0.0112094395280236
15,20,0.25,0.2,0.0316227766016838,0.12977713690461,0.243669858620224,"half_sA",0.132207566132415,0.000109365734504418,0.0316519947431032,0.948792611510199,0.93461607067731,0.0112094395280236
15,20,0.25,0.2,0.0316227766016838,0.12977713690461,0.243669858620224,"test_05",0.677926849970649,0.00492324819282503,0.0325065827064414,0.93849560124373,0.93461607067731,0.0112094395280236
15,20,0.25,0.2,0.0316227766016838,0.12977713690461,0.243669858620224,"test_20",0.41186681879993,0.00176169267783461,0.0320197208188657,0.944044250700237,0.93461607067731,0.0112094395280236
16,5,0.75,0.2,0.0632455532033676,0.0942809041582063,0.670820393249937,"never_pool",0,-3.03576608295941e-18,0.0632455532033676,0.95,NA,NA
16,5,0.75,0.2,0.0632455532033676,0.0942809041582063,0.670820393249937,"always_pool",1,0.0620689655172414,0.0813091456727696,0.780936448591582,0.780936448591582,0.0620689655172414
16,5,0.75,0.2,0.0632455532033676,0.0942809041582063,0.670820393249937,"half_sA",0.0743369550709102,0.000250687249600031,0.0634474789155336,0.9418877888282,0.780936448591581,0.0620689655172414
16,5,0.75,0.2,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_05",0.578497152643555,0.0221381853379339,0.0748910212867832,0.849674257575543,0.780936448591582,0.0620689655172414
16,5,0.75,0.2,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_20",0.314404575440062,0.00712590428865488,0.0679983369336828,0.901867510489861,0.780936448591581,0.0620689655172414
17,10,0.75,0.2,0.0447213595499958,0.0628539361054709,0.711512473537885,"never_pool",0,2.16840434497101e-19,0.0447213595499958,0.95,NA,NA
17,10,0.75,0.2,0.0447213595499958,0.0628539361054709,0.711512473537885,"always_pool",1,0.0672199170124482,0.0764612194058919,0.545801376670521,0.545801376670521,0.0672199170124482
17,10,0.75,0.2,0.0447213595499958,0.0628539361054709,0.711512473537885,"half_sA",0.0130846220886857,4.45106105444731e-05,0.0447821778136181,0.947443401798431,0.545801376670521,0.0672199170124481
17,10,0.75,0.2,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_05",0.263456772467273,0.00924288995865038,0.0536141968236871,0.85068837558357,0.545801376670521,0.0672199170124482
17,10,0.75,0.2,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_20",0.0948536380506327,0.00200279497071018,0.047080290349021,0.919890962035093,0.545801376670521,0.0672199170124481
18,20,0.75,0.2,0.0316227766016838,0.04325904563487,0.731009575860672,"never_pool",0,-2.63173136711911e-18,0.0316227766016838,0.95,NA,NA
18,20,0.75,0.2,0.0316227766016838,0.04325904563487,0.731009575860672,"always_pool",1,0.0696537678207739,0.0741847594356577,0.221108371596854,0.221108371596854,0.0696537678207739
18,20,0.75,0.2,0.0316227766016838,0.04325904563487,0.731009575860672,"half_sA",0.000418526725516625,1.36258023393805e-06,0.0316256243936678,0.9499116937309,0.221108371596854,0.0696537678207739
18,20,0.75,0.2,0.0316227766016838,0.04325904563487,0.731009575860672,"test_05",0.0381617219608289,0.00111036585713207,0.0334762913364348,0.928209844604471,0.221108371596854,0.0696537678207739
18,20,0.75,0.2,0.0316227766016838,0.04325904563487,0.731009575860672,"test_20",0.00712587992455844,0.00012692834619272,0.0318621343590714,0.946930654792952,0.221108371596854,0.0696537678207739
19,5,0.25,0.4,0.0632455532033676,0.282842712474619,0.223606797749979,"never_pool",0,-8.67361737988404e-19,0.0632455532033676,0.95,NA,NA
19,5,0.25,0.4,0.0632455532033676,0.282842712474619,0.223606797749979,"always_pool",1,0.019047619047619,0.0645936188869073,0.939019956209133,0.939019956209133,0.019047619047619
19,5,0.25,0.4,0.0632455532033676,0.282842712474619,0.223606797749979,"half_sA",0.155272560273899,0.000221140547960735,0.0632931086312647,0.948877461176138,0.939019956209132,0.019047619047619
19,5,0.25,0.4,0.0632455532033676,0.282842712474619,0.223606797749979,"test_05",0.71856758556545,0.00905383584446292,0.064513853772859,0.941025552295982,0.939019956209133,0.019047619047619
19,5,0.25,0.4,0.0632455532033676,0.282842712474619,0.223606797749979,"test_20",0.456848495742505,0.00338201962595774,0.0638524193323487,0.945024951432342,0.939019956209133,0.019047619047619
20,10,0.25,0.4,0.0447213595499958,0.188561808316413,0.237170824512628,"never_pool",0,1.51788304147971e-18,0.0447213595499958,0.95,NA,NA
20,10,0.25,0.4,0.0447213595499958,0.188561808316413,0.237170824512628,"always_pool",1,0.021301775147929,0.0484484958354053,0.922124387723246,0.922124387723246,0.021301775147929
20,10,0.25,0.4,0.0447213595499958,0.188561808316413,0.237170824512628,"half_sA",0.0519561446950884,7.96804978873534e-05,0.0447539846290784,0.949412777803233,0.922124387723246,0.021301775147929
20,10,0.25,0.4,0.0447213595499958,0.188561808316413,0.237170824512628,"test_05",0.458516880179676,0.00567351608304753,0.0464206400321387,0.937464349642729,0.922124387723246,0.021301775147929
20,10,0.25,0.4,0.0447213595499958,0.188561808316413,0.237170824512628,"test_20",0.216546605382724,0.00159673708463925,0.0452906630770372,0.945321273820516,0.922124387723246,0.021301775147929
21,20,0.25,0.4,0.0316227766016838,0.12977713690461,0.243669858620224,"never_pool",0,1.11808349037568e-18,0.0316227766016838,0.95,NA,NA
21,20,0.25,0.4,0.0316227766016838,0.12977713690461,0.243669858620224,"always_pool",1,0.0224188790560472,0.0380336553658671,0.887126324979697,0.887126324979697,0.0224188790560472
21,20,0.25,0.4,0.0316227766016838,0.12977713690461,0.243669858620224,"half_sA",0.00580672954201015,8.81252948798338e-06,0.0316285377419604,0.949893264944764,0.887126324979697,0.0224188790560472
21,20,0.25,0.4,0.0316227766016838,0.12977713690461,0.243669858620224,"test_05",0.150422125573009,0.00162349845551071,0.0324596233267724,0.94208159617785,0.887126324979696,0.0224188790560472
21,20,0.25,0.4,0.0316227766016838,0.12977713690461,0.243669858620224,"test_20",0.0433434973498803,0.000283426704877414,0.0317889065134055,0.948285406196183,0.887126324979696,0.0224188790560472
22,5,0.75,0.4,0.0632455532033676,0.0942809041582063,0.670820393249937,"never_pool",0,3.89635155736978e-18,0.0632455532033676,0.95,NA,NA
22,5,0.75,0.4,0.0632455532033676,0.0942809041582063,0.670820393249937,"always_pool",1,0.124137931034483,0.134791864039256,0.343263486067671,0.343263486067671,0.124137931034483
22,5,0.75,0.4,0.0632455532033676,0.0942809041582063,0.670820393249937,"half_sA",0.000900503120936857,5.55961971340899e-06,0.0632558491464247,0.949818170612695,0.343263486067671,0.124137931034483
22,5,0.75,0.4,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_05",0.0589842641469454,0.00318089762885294,0.0678795166327612,0.920737201490527,0.343263486067671,0.124137931034483
22,5,0.75,0.4,0.0632455532033676,0.0942809041582063,0.670820393249937,"test_20",0.0124873543271866,0.000411137845331387,0.0639294829202228,0.945175991331643,0.343263486067671,0.124137931034483
23,10,0.75,0.4,0.0447213595499958,0.0628539361054709,0.711512473537885,"never_pool",0,-9.50953301970562e-19,0.0447213595499958,0.95,NA,NA
23,10,0.75,0.4,0.0447213595499958,0.0628539361054709,0.711512473537885,"always_pool",1,0.134439834024896,0.139290594809977,0.0418611638096732,0.0418611638096732,0.134439834024896
23,10,0.75,0.4,0.0447213595499958,0.0628539361054709,0.711512473537885,"half_sA",8.74236912705023e-07,5.06482114759838e-09,0.0447213742684938,0.94999992127987,0.0418611638096732,0.134439834024896
23,10,0.75,0.4,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_05",0.000628990829130744,2.75927382667705e-05,0.0447904192216947,0.949731228293864,0.0418611638096732,0.134439834024896
23,10,0.75,0.4,0.0447213595499958,0.0628539361054709,0.711512473537885,"test_20",4.73451604024501e-05,1.29057012166659e-06,0.0447248285347537,0.949987851539742,0.0418611638096732,0.134439834024896
24,20,0.75,0.4,0.0316227766016838,0.04325904563487,0.731009575860672,"never_pool",0,-3.80952878649413e-18,0.0316227766016838,0.95,NA,NA
24,20,0.75,0.4,0.0316227766016838,0.04325904563487,0.731009575860672,"always_pool",1,0.139307535641548,0.141627400764885,0.000235379742536783,0.000235379742536783,0.139307535641548
24,20,0.75,0.4,0.0316227766016838,0.04325904563487,0.731009575860672,"half_sA",8.23941124732272e-13,4.13540802635194e-15,0.0316227766017016,0.949999999999998,0.000235379742536783,0.139307535641548
24,20,0.75,0.4,0.0316227766016838,0.04325904563487,0.731009575860672,"test_05",1.84771817015786e-08,6.16776197625504e-10,0.0316227789904029,0.949999999197901,0.000235379742536782,0.139307535641548
24,20,0.75,0.4,0.0316227766016838,0.04325904563487,0.731009575860672,"test_20",3.14008810580961e-10,6.60629658459246e-12,0.0316227766285495,0.94999999999563,0.000235379742536783,0.139307535641548
